Step 50: Latitude: 38.5608900, Longitude: 68.7719300, Distance to trail: 13.84 м, time: 1733997663 сек, Time difference: 1 сек
Step 51: Latitude: 38.5609800, Longitude: 68.7718200, Distance to trail: 22.48 м, time: 1733997664 сек, Time difference: 1 сек
Step 52: Latitude: 38.5611500, Longitude: 68.7716800, Distance to trail: 11.29 м, time: 1733997665 сек, Time difference: 1 сек
Step 53: Latitude: 38.5612400, Longitude: 68.7716200, Distance to trail: 65.68 м, time: 1733997666 сек, Time difference: 1 сек
Step 54: Latitude: 38.5618000, Longitude: 68.7713799, Distance to trail: 126.47 м, time: 1733997667 сек, Time difference: 1 сек
Step 55: Latitude: 38.5629000, Longitude: 68.7710100, Distance to trail: 162.35 м, time: 1733997668 сек, Time difference: 1 сек
Step 56: Latitude: 38.5643000, Longitude: 68.7704800, Distance to trail: 74.77 м, time: 1733997669 сек, Time difference: 1 сек
Step 57: Latitude: 38.5649500, Longitude: 68.7702599, Distance to trail: 58.00 м, time: 1733997670 сек, Time difference: 1 сек
Step 58: Latitude: 38.5654600, Longitude: 68.7701200, Distance to trail: 33.89 м, time: 1733997671 сек, Time difference: 1 сек
Step 59: Latitude: 38.5657500, Longitude: 68.7700000, Distance to trail: 58.24 м, time: 1733997672 сек, Time difference: 1 сек
Step 60: Latitude: 38.5662700, Longitude: 68.7699200, Distance to trail: 91.18 м, time: 1733997673 сек, Time difference: 1 сек
Step 61: Latitude: 38.5670900, Longitude: 68.7699300, Distance to trail: 17.88 м, time: 1733997674 сек, Time difference: 1 сек
Step 62: Latitude: 38.5672500, Longitude: 68.7699500, Distance to trail: 2.39 м, time: 1733997675 сек, Time difference: 1 сек
Step 63: Latitude: 38.5672700, Longitude: 68.7699600, Distance to trail: 12.51 м, time: 1733997676 сек, Time difference: 1 сек
Step 64: Latitude: 38.5673800, Longitude: 68.7699900, Distance to trail: 8.92 м, time: 1733997677 сек, Time difference: 1 сек
Step 65: Latitude: 38.5674500, Longitude: 68.7700400, Distance to trail: 9.88 м, time: 1733997678 сек, Time difference: 1 сек
Step 66: Latitude: 38.5675200, Longitude: 68.7701100, Distance to trail: 9.31 м, time: 1733997679 сек, Time difference: 1 сек
Step 67: Latitude: 38.5675500, Longitude: 68.7702100, Distance to trail: 20.87 м, time: 1733997680 сек, Time difference: 1 сек
Step 68: Latitude: 38.5675500, Longitude: 68.7704500, Distance to trail: 16.67 м, time: 1733997681 сек, Time difference: 1 сек
Step 69: Latitude: 38.5675300, Longitude: 68.7706400, Distance to trail: 48.29 м, time: 1733997682 сек, Time difference: 1 сек
Step 70: Latitude: 38.5674000, Longitude: 68.7711700, Distance to trail: 19.13 м, time: 1733997683 сек, Time difference: 1 сек
Step 71: Latitude: 38.5674000, Longitude: 68.7713900, Distance to trail: 6.48 м, time: 1733997684 сек, Time difference: 1 сек
Step 72: Latitude: 38.5674200, Longitude: 68.7714600, Distance to trail: 7.53 м, time: 1733997685 сек, Time difference: 1 сек
Step 73: Latitude: 38.5674599, Longitude: 68.7715300, Distance to trail: 31.38 м, time: 1733997686 сек, Time difference: 1 сек
Step 74: Latitude: 38.5677200, Longitude: 68.7716700, Distance to trail: 133.22 м, time: 1733997687 сек, Time difference: 1 сек
Step 75: Latitude: 38.5688699, Longitude: 68.7721000, Distance to trail: 231.46 м, time: 1733997688 сек, Time difference: 1 сек
Step 76: Latitude: 38.5708399, Longitude: 68.7729600, Distance to trail: 879.98 м, time: 1733997689 сек, Time difference: 1 сек
Step 77: Latitude: 38.5782000, Longitude: 68.7766800, Distance to trail: 73.47 м, time: 1733997690 сек, Time difference: 1 сек
Step 78: Latitude: 38.5788400, Longitude: 68.7768900, Distance to trail: 35.16 м, time: 1733997691 сек, Time difference: 1 сек
Step 79: Latitude: 38.5791500, Longitude: 68.7769700, Distance to trail: 63.00 м, time: 1733997692 сек, Time difference: 1 сек
Step 80: Latitude: 38.5797100, Longitude: 68.7770800, Distance to trail: 102.60 м, time: 1733997693 сек, Time difference: 1 сек
Step 81: Latitude: 38.5806300, Longitude: 68.7771700, Distance to trail: 395.09 м, time: 1733997694 сек, Time difference: 1 сек
Step 82: Latitude: 38.5841800, Longitude: 68.7773600, Distance to trail: 26.81 м, time: 1733997695 сек, Time difference: 1 сек
Step 83: Latitude: 38.5844200, Longitude: 68.7773900, Distance to trail: 166.98 м, time: 1733997696 сек, Time difference: 1 сек
Step 84: Latitude: 38.5859200, Longitude: 68.7774800, Distance to trail: 120.40 м, time: 1733997697 сек, Time difference: 1 сек
Step 85: Latitude: 38.5870000, Longitude: 68.7775800, Distance to trail: 123.54 м, time: 1733997698 сек, Time difference: 1 сек
Step 86: Latitude: 38.5881100, Longitude: 68.7776400, Distance to trail: 52.44 м, time: 1733997699 сек, Time difference: 1 сек
Step 87: Latitude: 38.5885800, Longitude: 68.7776900, Distance to trail: 149.16 м, time: 1733997700 сек, Time difference: 1 сек
Step 88: Latitude: 38.5899200, Longitude: 68.7777700, Distance to trail: 96.77 м, time: 1733997701 сек, Time difference: 1 сек
Step 89: Latitude: 38.5907900, Longitude: 68.7777400, Distance to trail: 88.19 м, time: 1733997702 сек, Time difference: 1 сек
Step 90: Latitude: 38.5915800, Longitude: 68.7776500, Distance to trail: 61.90 м, time: 1733997703 сек, Time difference: 1 сек
Step 91: Latitude: 38.5921300, Longitude: 68.7775400, Distance to trail: 140.56 м, time: 1733997704 сек, Time difference: 1 сек
Step 92: Latitude: 38.5933900, Longitude: 68.7774100, Distance to trail: 176.58 м, time: 1733997705 сек, Time difference: 1 сек
